Metadata section
timestamp: 2026-04-20_18-33-10
humidity: 21.7584616
temperature: 23.985862
temperature2: 25.969
temperature3: 26.31
gyro_offset_xyz: 0.03576635, 0.005480178 0.008126585
gyro_sf: 0.017453292
accel_sf: 9.80665
gyro_so: 131
accel_so: 16384

Data section
time gyro_x gyro_y gyro_z accel_x accel_y accel_z pressure
1177675 -0.0016591512 0.0037127776 -0.01185706 0.1604115 0.24660278 10.642226 99159.29
1177685 0.00380333152 -0.0013500098 -0.0098585912 0.1364695 0.25617956 10.666168 99158.624
1177695 -0.0016591512 -0.0012167785 -0.0046625724 0.16519992 0.24660278 10.668563 99158.624
1177705 -0.002058845 0.009708183 -0.009458898 0.186747732 0.2657564 10.582372 99158.624
1177715 0.0020713248 0.028360556 -0.013455834 0.189141932 0.2777274 10.680533 99158.624
1177758 -0.00019360706 0.009708183 -0.0079933532 0.12449849 0.29688102 10.69011 99158.78
1177767 -0.0028582328 0.01357189 -0.016253692 0.1340753 0.28491 10.642226 99158.78
1177777 0.0014051683 0.017035902 -0.009458898 0.1412579 0.2777274 10.584765 99158.78
1177788 -0.0009929948 0.019434064 -0.008792741 0.14604631 0.24181438 10.6158904 99158.78
1177798 0.0015383996 0.022231922 -0.012123521 0.1436521 0.30166942 10.556035 99158.78
1177808 0.00033931808 0.02542947 -0.008259816 0.1436521 0.260968 10.6158904 99158.78
1177818 0.0007390119 0.008775566 -0.009325666 0.07182605 0.24899698 10.699687 99158.78
1177827 0.0023377872 -0.016671602 -0.012922909 0.095768068 0.29688102 10.692505 99158.78
1177837 -0.003924083 -0.012541434 -0.0079933532 0.19871874 0.2657564 10.613496 99158.78
1177847 0.005002413 0.0051783208 -0.00759365936 0.16759412 0.2705448 10.58716 99158.78
1177866 -0.001126226 0.011173727 -0.0061281164 0.14844051 0.2825158 10.642226 99158.78
1177875 -0.0036576204 0.025562702 -0.008259816 0.15322891 0.272939 10.6877168 99158.78
1177885 0.0011387058 0.0191676 -0.008259816 0.1340753 0.2753332 10.702082 99158.78
1177895 0.0020713248 0.01783529 -0.007860122 0.1388637 0.30645782 10.642226 99158.78
1177904 0.00020608678 0.014371276 -0.011057672 0.15083471 0.2873042 10.647015 99158.78
1177914 -0.0017923824 0.005311552 -0.007327197 0.14604631 0.2873042 10.651803 99158.11
1177924 0.0016716309 0.0051783208 -0.011590597 0.179565132 0.2681506 10.635044 99158.11
1177933 -0.0013926886 0.007310021 -0.01185706 0.1364695 0.2633622 10.656591 99158.11
1177943 7.28555e-05 0.007576483 -0.013189372 0.11252748 0.25617956 10.658986 99158.11
1177953 -0.0037908516 0.0142380468 -0.013189372 0.14604631 0.2873042 10.644621 99157.45
1177964 0.0034036376 0.018767908 -0.009192435 0.1340753 0.22984336 10.620679 99157.45
1177974 -6.037578e-05 0.012639271 -0.00972536 0.10055647 0.25378536 10.623073 99157.45
1177985 0.0015383996 0.007976176 -0.007327197 0.1364695 0.2896984 10.723629 99157.45
1177993 -0.001126226 -0.00041739084 -0.0098585912 0.12210429 0.272939 10.6637744 99157.45
1178003 0.004069794 0.0041124704 -0.013455834 0.11252748 0.2753332 10.625467 99156.768
1178014 0.0018048622 0.00397924 -0.008526279 0.17238252 0.29927522 10.649409 99156.768
1178023 0.00033931808 0.015570359 -0.009991822 0.181959332 0.29448682 10.536881 99156.768
1178033 7.28555e-05 0.019034368 -0.015321072 0.16759412 0.29209262 10.582372 99156.768
1178043 0.0020713248 0.02862702 -0.013855528 0.1316811 0.29209262 10.658986 99157.45
1178052 -0.004190542 0.039152288 -0.011190903 0.19632454 0.2777274 10.6398328 99157.45
1178063 -0.0035243892 0.033556572 -0.0107912092 0.10295067 0.2705448 10.666168 99157.45
1178073 0.00047254936 0.011040496 -0.007860122 0.095768068 0.24420858 10.694899 99157.45
1178082 -0.001126226 -0.004281097 -0.002664104 0.12449849 0.29448682 10.654198 99157.45
1178092 -0.0016591512 0.0006484585 0.0019989898 0.191536132 0.2896984 10.599131 99157.45
1178103 -0.002991464 0.007043559 0.010792252 0.16759412 0.30166942 10.635044 99157.45
1178116 0.0011387058 0.025163006 0.032375716 0.15083471 0.28491 10.670957 99157.45
1178125 -0.005789319 0.022898076 0.027979082 0.093373864 0.24181438 10.630256 99157.45
1178137 7.28555e-05 0.012239577 0.0041306884 0.10773908 0.25617956 10.58716 99158.11
1178147 0.0016716309 0.0014478466 -0.012656447 0.11971009 0.2633622 10.654198 99158.11
1178157 0.0011387058 0.003046621 -0.019584472 0.12928688 0.30406362 10.6637744 99158.11
1178167 -0.0035243892 0.0023804648 -0.009991822 0.16519992 0.2705448 10.630256 99158.78
1178177 0.00367010016 0.010907264 -0.005861654 0.1604115 0.2657564 10.6158904 99158.78
1178187 7.28555e-05 0.02116607 -0.016653385 0.1316811 0.30406362 10.673351 99158.78
1178197 -0.004723469 0.022898076 -0.009059204 0.1340753 0.32800564 10.637438 99158.78
1178206 0.0032704026 0.025962394 -0.00759365936 0.11492168 0.30885202 10.6637744 99158.11
1178216 0.0011387058 0.014104815 -0.009991822 0.1316811 0.31364042 10.649409 99158.11
1178226 -0.001126226 0.00357954632 -0.009325666 0.088585464 0.28491 10.699687 99158.11
1178263 0.0007390119 0.007976176 -0.010125053 0.12210429 0.25617956 10.627861 99158.948
1178273 0.0006057769 0.015437128 -0.0117238284 0.12928688 0.24660278 10.6637744 99158.948
1178283 0.003536865 0.022098688 -0.0069275037 0.1412579 0.2896984 10.668563 99158.27
1178294 -0.0007265322 0.022898076 -0.010524747 0.14604631 0.2657564 10.666168 99158.27
1178303 -6.037578e-05 0.009308489 -0.0117238284 0.1412579 0.31364042 10.658986 99158.27
1178313 0.0008722432 0.0051783208 -0.0071939668 0.1436521 0.30645782 10.6637744 99158.27
1178323 0.00033931808 0.00078169024 -0.007726891 0.12449849 0.2681506 10.608707 99158.27
1178334 0.0026042462 0.005311552 -0.007327197 0.12928688 0.28491 10.630256 99158.27
1178344 -0.00339115768 0.016502976 -0.011990291 0.14844051 0.29209262 10.589554 99158.27
1178355 0.0006057769 0.024763314 -0.008259816 0.15322891 0.2633622 10.584765 99158.27
1178366 0.0030039436 0.024097158 -0.0107912092 0.10295067 0.2705448 10.627861 99158.948
1178375 -0.0013926886 0.014104815 -0.008526279 0.110133272 0.22984336 10.680533 99158.948
1178386 0.0006057769 0.00357954632 -0.010924441 0.12210429 0.24420858 10.699687 99158.948
1178396 0.0034036376 -0.0012167785 -0.011457366 0.11492168 0.2825158 10.635044 99159.61
1178406 -0.002991464 -0.0056134096 -0.011190903 0.1340753 0.29688102 10.603919 99159.61
1178416 -0.00019360706 0.0051783208 -0.01505461 0.16519992 0.25139116 10.601525 99159.61
1178426 -0.0012594573 0.019300834 -0.010125053 0.14844051 0.2657564 10.673351 99159.61
1178435 -0.0021920764 0.019833756 -0.0098585912 0.17477672 0.32321724 10.589554 99159.61
1178446 -0.0060557816 0.018767908 -0.013322603 0.15562311 0.2825158 10.692505 99159.61
1178456 0.0018048622 0.011973115 -0.009325666 0.1364695 0.2825158 10.702082 99160.45
1178465 -6.037578e-05 0.005711246 -0.00652781 0.1436521 0.2657564 10.642226 99160.45
1178474 -0.0012594573 -0.00028416002 -0.009192435 0.1340753 0.2657564 10.579977 99160.45
1178484 0.0018048622 0.007976176 -0.00546196 0.15562311 0.23702596 10.613496 99160.45
1178493 -0.0008597635 0.013705119 -0.0046625724 0.1316811 0.24420858 10.67814 99160.45
1178506 -0.0008597635 0.018501446 0.0035977644 0.1412579 0.25857376 10.730812 99160.45
1178516 0.00193808976 0.017302364 0.010925483 0.12928688 0.2825158 10.682928 99159.78
1178525 -0.0007265322 0.02103284 0.0118581 0.06703765 0.2657564 10.606314 99159.78
1178535 -0.0028582328 0.012905734 0.009060245 0.11492168 0.24660278 10.627861 99159.78
1178545 0.002204556 0.010241108 -0.0018647164 0.10055647 0.22744916 10.606314 99159.78
1178554 -0.0028582328 0.004911858 -0.0063945784 0.179565132 0.30166942 10.644621 99159.78
1178565 -0.0017923824 0.006377402 -0.0063945784 0.12210429 0.272939 10.647015 99159.78
1178575 0.005002413 0.004778627 -0.007460429 0.15083471 0.33279404 10.58716 99159.78
1178586 0.00047254936 0.013971584 -0.006661041 0.177170932 0.29927522 10.682928 99159.11
1178595 -0.005389625 0.017435596 -0.00972536 0.14844051 0.23702596 10.58716 99159.78
1178605 -0.00339115768 0.02529624 -0.013855528 0.12210429 0.29209262 10.673351 99159.11
1178615 -0.0032579266 0.029159944 -0.0145216852 0.1412579 0.2705448 10.66138 99159.11
1178625 0.00047254936 0.025962394 -0.014121991 0.1316811 0.28491 10.647015 99159.11
1178635 0.00033931808 0.013172196 -0.0063945784 0.12449849 0.29209262 10.642226 99159.11
1178645 0.00033931808 -0.00028416002 -0.010258284 0.11492168 0.24660278 10.675745 99159.11
1178655 0.0027374812 -0.0086777288 0.0013328334 0.10773908 0.272939 10.697293 99158.44
1178665 -0.00192561368 -0.000683853868 -0.00173148516 0.12689268 0.24660278 10.575189 99158.44
1178678 0.00020608678 0.010774033 0.0023986836 0.12210429 0.2896984 10.625467 99157.768
1178687 -0.0032579266 0.011306958 0.0050633084 0.17477672 0.260968 10.67814 99157.768
1178697 0.0016716309 0.022898076 -0.0057284228 0.177170932 0.24660278 10.599131 99157.768
1178708 0.0010054745 0.021698996 -0.009192435 0.16759412 0.2801216 10.635044 99157.768
1178717 0.0046027152 0.012905734 -0.01185706 0.16519992 0.30166942 10.704475 99157.768
1178727 0.00380333152 0.006643865 -0.010391516 0.15562311 0.2896984 10.647015 99157.768
1178766 0.00020608678 0.0133054268 -0.010657978 0.1436521 0.30885202 10.613496 99157.768
1178786 -0.0015259199 0.011706652 -0.009458898 0.095768068 0.23942018 10.694899 99158.44
1178795 0.002204556 0.011173727 -0.012389984 0.1388637 0.2825158 10.666168 99158.44
1178805 -0.004323777 0.008908795 -0.012256753 0.12210429 0.23942018 10.608707 99158.44
1178815 0.0034036376 0.0123728088 -0.008526279 0.14844051 0.29448682 10.623073 99158.44
1178825 -0.0025917702 0.008908795 -0.012389984 0.1388637 0.31603462 10.594342 99158.44
1178835 -0.0012594573 0.01770206 -0.0089259732 0.15801731 0.29448682 10.625467 99158.44
1178845 -0.0028582328 0.01890114 -0.018651854 0.1604115 0.2777274 10.675745 99158.44
1178854 0.0026042462 0.010374339 -0.020916784 0.1364695 0.2873042 10.766725 99158.44
1178864 -0.00019360706 0.003446315 -0.014788147 0.19393034 0.33518824 10.642226 99158.44
1178874 -0.0005933009 0.006377402 -0.0027973354 0.11971009 0.2825158 10.635044 99159.11
1178885 0.0034036376 0.00184754 -0.00679427236 0.1436521 0.2777274 10.625467 99159.11
1178895 0.0027374812 0.0023804648 -0.0051954976 0.1364695 0.24660278 10.654198 99159.11
1178905 -0.0008597635 0.011173727 -0.0098585912 0.16759412 0.2801216 10.548853 99159.11
1178915 -0.00339115768 0.018101752 -0.011590597 0.11252748 0.23942018 10.603919 99159.11
1178925 7.28555e-05 0.0204999132 -0.023581408 0.11731588 0.272939 10.627861 99159.11
1178935 -0.0017923824 0.007976176 -0.023048482 0.12210429 0.25617956 10.670957 99159.11
1178944 -0.0060557816 0.0021140026 -0.019850934 0.1316811 0.30645782 10.682928 99159.11
1178955 -0.0016591512 0.00357954632 -0.004529341 0.12928688 0.29448682 10.589554 99159.11
1178965 0.003536865 0.0038460088 -0.0007988666 0.079008652 0.22984336 10.6398328 99159.11
1178986 0.0066011848 0.016502976 -0.0061281164 0.15083471 0.22505496 10.649409 99159.11
1178995 0.00193808976 0.02303131 -0.019051546 0.15801731 0.24660278 10.589554 99159.11
1179006 -0.007921018 0.027028244 -0.021316478 0.15322891 0.2873042 10.673351 99159.11
1179016 -0.011917958 0.010907264 -0.0245140268 0.16519992 0.272939 10.596737 99158.44
1179025 -0.006721938 0.0015810775 -0.012523215 0.19632454 0.272939 10.618284 99159.31
1179035 0.005402107 0.0014478466 0.003464534 0.1436521 0.25378536 10.620679 99158.44
1179045 0.008866116 0.011706652 0.0055962324 0.184353532 0.24420858 10.572795 99157.768
1179054 0.0064679532 0.013971584 -0.011590597 0.1412579 0.30406362 10.67814 99157.768
1179064 0.0014051683 0.010507571 -0.009325666 0.1388637 0.25617956 10.651803 99157.768
1179077 -0.006189013 0.01783529 -0.02584634 0.088585464 0.272939 10.658986 99157.768
1179085 -0.005789319 0.010507571 -0.02478049 0.15083471 0.2681506 10.656591 99157.768
1179095 -0.005389625 0.009708183 -0.03757069 0.08379706 0.24420858 10.644621 99157.768
1179105 0.0032704026 0.013705119 -0.028377734 0.181959332 0.25857376 10.656591 99157.768
1179115 0.0051356404 0.0191676 -0.02811127 0.1412579 0.272939 10.548853 99157.768
1179125 0.00819996 0.02662855 -0.025046952 0.1388637 0.30645782 10.594342 99157.768
1179135 0.007267341 0.019434064 -0.02278202 0.14604631 0.30885202 10.644621 99157.1
1179144 0.0034036376 0.013038963 -0.029843278 0.12449849 0.2753332 10.623073 99157.1
1179154 0.0015383996 0.0031798524 -0.036238376 0.1364695 0.2753332 10.560823 99157.1
1179164 0.00047254936 0.006643865 -0.03344052 0.1388637 0.31124622 10.69011 99157.1
1179173 0.0008722432 0.008242639 -0.019717704 0.10295067 0.32800564 10.630256 99157.1
1179183 0.004869178 0.011306958 -0.0010653292 0.14844051 0.2753332 10.647015 99157.1
1179193 0.007800266 0.0069103272 0.0125242568 0.088585464 0.2657564 10.680533 99157.1
1179202 0.0011387058 0.0003819964 0.013057182 0.088585464 0.25857376 10.716447 99157.1
1179213 0.0012719333 -0.006546028 5.206093e-07 0.16998832 0.2777274 10.627861 99157.1
1179222 0.004869178 -0.0086777288 -0.010258284 0.15562311 0.24899698 10.611102 99157.1
1179232 0.0015383996 -0.00041739084 -0.008526279 0.15322891 0.30406362 10.623073 99156.43
1179244 -0.00046006964 0.0191676 -0.01838539 0.12928688 0.2753332 10.5919484 99156.43
1179288 0.0018048622 -0.008544496 -0.01185706 0.11252748 0.30645782 10.66138 99157.97
1179297 0.003137175 -0.005879872 -0.0079933532 0.181959332 0.2705448 10.66138 99157.3
1179307 -0.0024585388 -0.007611878 -0.00865951 0.11492168 0.2873042 10.680533 99157.97
1179317 0.0015383996 -0.008144803 -0.005861654 0.1436521 0.260968 10.670957 99157.97
1179326 0.0042030216 -0.010942658 -0.00652781 0.1436521 0.24420858 10.625467 99157.97
1179336 -0.0048567 0.010241108 -0.00053240408 0.179565132 0.25857376 10.632649 99157.97
1179346 -0.0015259199 0.013838351 -0.00053240408 0.14604631 0.23463176 10.596737 99157.97
1179366 -0.00019360706 0.01357189 -0.00972536 0.1364695 0.31124622 10.704475 99157.97
1179375 0.00380333152 0.014371276 -0.00759365936 0.1436521 0.29927522 10.642226 99157.97
1179385 -0.005256394 0.007176789 -0.0063945784 0.15322891 0.29688102 10.697293 99157.97
1179396 -0.0036576204 0.003046621 -0.010391516 0.1316811 0.29209262 10.625467 99157.97
1179405 -0.0013926886 0.011173727 -0.010924441 0.1364695 0.2825158 10.630256 99157.97
1179415 -0.0007265322 0.010507571 -0.012789678 0.15562311 0.2825158 10.618284 99157.97
1179425 0.0011387058 0.021698996 -0.010524747 0.1412579 0.2753332 10.6398328 99157.97
1179434 0.0007390119 0.026228856 -0.011324135 0.16998832 0.29927522 10.620679 99157.97
1179444 -0.0040573144 0.02529624 -0.012523215 0.10295067 0.2873042 10.601525 99157.97
1179457 -0.008587174 0.028360556 -0.01825216 0.1364695 0.2753332 10.670957 99157.97
1179465 -0.0069884008 0.016636208 -0.011190903 0.1364695 0.2681506 10.6637744 99157.97
1179476 -0.004190542 0.010107877 -0.0098585912 0.076614456 0.2777274 10.608707 99157.97
1179486 -0.00685516936 0.0061109408 -0.0061281164 0.12689268 0.24181438 10.675745 99157.97
1179495 0.0043362564 0.004378934 -0.0047958036 0.1364695 0.29927522 10.692505 99158.624
1179505 0.005402107 -0.0062795652 0.0011996022 0.15562311 0.2777274 10.58716 99158.624
1179516 0.007933497 -0.004814022 0.0021322202 0.14844051 0.260968 10.654198 99158.624
1179525 0.0056685692 0.007043559 -0.0051954976 0.15801731 0.24660278 10.6158904 99158.624
1179536 -0.0032579266 0.01144019 -0.008792741 0.1412579 0.2681506 10.611102 99157.97
1179545 -0.0007265322 0.025163006 -0.012789678 0.16998832 0.2801216 10.680533 99158.624
